ITEM_ID,NAME,EMOTION,DESCRIPCION,CANT_PERSON,MIN_PERSON,DURACION,TIPO,CALIFICACION
A0001,Respira y Relájate: Taller de manejo del estrés y técnicas de relajación,tristeza|estres|ansiedad,Explora técnicas efectivas para reducir el estrés y fomentar la relajación en el taller guiado por una psicóloga experta,40,20,90,Taller,0
A0002,Mindfulness para Estudiantes: Sesiones de meditación y atención plena,tristeza|estres|ansiedad,Sesiones de meditación guiada y prácticas de atención plena para promover bienestar emocional y concentración académica,30,15,60,Meditacion,0
A0003,Apoyo en Comunidad: Grupos de apoyo emocional y terapia grupal,tristeza|frustración,Brindar orientación psicológica a través de grupos de apoyo emocional y terapia grupal para fomentar el bienestar y la resiliencia.,12,8,45,Terapia grupal,0
A0004,Yoga para el Equilibrio Emocional: Clases de yoga y respiración consciente,tristeza|ansiedad|estres,Se enfoca en técnicas de respiración consciente y posturas para promover bienestar mental y emocional,40,30,45,Yoga,0
A0005,Inspiración Literaria: Lectura y visualización para elevar el ánimo,tristeza|aburrimiento, 
La actividad de inspiración literaria combina la lectura y visualización creativa para elevar el ánimo. A través de textos evocadores y la imaginación, se busca estimular emociones positivas y fomentar la creatividad.,50,30,60,Literatura,0
A0006,Conexión Natural: Actividades al aire libre para conectar con la naturaleza,tristeza|estres|ansiedad,La actividad "Conexión Natural" fomenta la interacción con la naturaleza mediante diversas actividades al aire libre. Busca fortalecer la conexión emocional y espiritual con el entorno natural, promoviendo bienestar.,60,40,50,Ecoturismo,0
A0007,Calma Interior: Talleres de manejo del estrés y técnicas de relajación,estres|ansiedad|frustración,
"Calma Interior" ofrece talleres que enseñan técnicas de manejo del estrés y relajación para cultivar la serenidad. Proporciona herramientas prácticas para mejorar el bienestar emocional y mental,80,60,50,Taller,0
A0008,Apoyo y Conversación: Grupos de apoyo emocional y terapia grupal,estres|tristeza|ansiedad,"Apoyo y Conversación" brinda un espacio seguro mediante grupos de apoyo emocional y terapia grupal. Facilita la expresión libre de emociones, promoviendo el entendimiento y la sanación en comunidad.,40,25,45,Terapia grupal,0
A0009,Cuerpo en Armonía: Ejercicios de relajación como yoga y tai chi,estres|ansiedad,
"Cuerpo en Armonía" ofrece prácticas como yoga y tai chi para promover la relajación y equilibrio físico. Estas actividades buscan integrar mente y cuerpo, fomentando el bienestar integral.,40,30,45,Ejercicios de relajacion,0
